Delay,Power,Surface,Distance
10,100%,wooden floor,16.1
10,100%,wooden floor,13.3
10,100%,wooden floor,16.4
50,100%,wooden floor,17.4
50,100%,wooden floor,17.9
50,100%,wooden floor,19.1
100,100%,wooden floor,20.1
100,100%,wooden floor,19.3
100,100%,wooden floor,19.6
200,100%,wooden floor,15.7
200,100%,wooden floor,15.6
200,100%,wooden floor,15.2
500,100%,wooden floor,0
500,100%,wooden floor,0
500,100%,wooden floor,0
10,75%,wooden floor,17.8
10,75%,wooden floor,28.5
10,75%,wooden floor,19.5
50,75%,wooden floor,21.1
50,75%,wooden floor,20
50,75%,wooden floor,18.2
100,75%,wooden floor,19.6
100,75%,wooden floor,19.1
100,75%,wooden floor,16.8
200,75%,wooden floor,15.4
200,75%,wooden floor,15.5
200,75%,wooden floor,14.9
500,75%,wooden floor,0
500,75%,wooden floor,0
500,75%,wooden floor,0
10,50%,wooden floor,13.9
10,50%,wooden floor,14.1
10,50%,wooden floor,16
50,50%,wooden floor,19.7
50,50%,wooden floor,18.3
50,50%,wooden floor,17.9
100,50%,wooden floor,18.1
100,50%,wooden floor,17.4
100,50%,wooden floor,18.2
200,50%,wooden floor,13.5
200,50%,wooden floor,13.3
200,50%,wooden floor,14.5
500,50%,wooden floor,0
500,50%,wooden floor,0
500,50%,wooden floor,0
10,25%,wooden floor,14
10,25%,wooden floor,13.4
10,25%,wooden floor,12.8
50,25%,wooden floor,16.3
50,25%,wooden floor,16.6
50,25%,wooden floor,15.1
100,25%,wooden floor,17.2
100,25%,wooden floor,17.3
100,25%,wooden floor,17.3
200,25%,wooden floor,14.1
200,25%,wooden floor,13.9
200,25%,wooden floor,14.6
500,25%,wooden floor,0
500,25%,wooden floor,0
500,25%,wooden floor,0
10,100%,yoga mat,17.5
10,100%,yoga mat,17.2
10,100%,yoga mat,18
50,100%,yoga mat,20.3
50,100%,yoga mat,22.1
50,100%,yoga mat,21.9
100,100%,yoga mat,21.5
100,100%,yoga mat,21.1
100,100%,yoga mat,20.8
200,100%,yoga mat,14.7
200,100%,yoga mat,16.1
200,100%,yoga mat,14.6
500,100%,yoga mat,0
500,100%,yoga mat,0
500,100%,yoga mat,0
10,75%,yoga mat,20.1
10,75%,yoga mat,19.5
10,75%,yoga mat,21.3
50,75%,yoga mat,21.9
50,75%,yoga mat,20.6
50,75%,yoga mat,21.7
100,75%,yoga mat,18.5
100,75%,yoga mat,16.7
100,75%,yoga mat,17.5
200,75%,yoga mat,15.4
200,75%,yoga mat,14.2
200,75%,yoga mat,15.1
500,75%,yoga mat,0
500,75%,yoga mat,0
500,75%,yoga mat,0
10,50%,yoga mat,20.2
10,50%,yoga mat,20.8
10,50%,yoga mat,20.3
50,50%,yoga mat,21.1
50,50%,yoga mat,21.4
50,50%,yoga mat,21.7
100,50%,yoga mat,22.6
100,50%,yoga mat,21.5
100,50%,yoga mat,19.9
200,50%,yoga mat,19.4
200,50%,yoga mat,19.6
200,50%,yoga mat,17.9
500,50%,yoga mat,24.1
500,50%,yoga mat,21.2
500,50%,yoga mat,23.8
10,25%,yoga mat,19.6
10,25%,yoga mat,20.4
10,25%,yoga mat,22
50,25%,yoga mat,24.2
50,25%,yoga mat,28.6
50,25%,yoga mat,22.8
100,25%,yoga mat,19.9
100,25%,yoga mat,21.3
100,25%,yoga mat,21.7
200,25%,yoga mat,16.6
200,25%,yoga mat,17.1
200,25%,yoga mat,18.2
500,25%,yoga mat,0
500,25%,yoga mat,0
500,25%,yoga mat,0
